DR Number,Date Occurred,Time Occurred,latitude,longitude
120210394,2012-04-28,1030,34.0691,-118.2611
120209498,2012-04-10,2320,34.071,-118.2759
120212099,2012-05-31,805,34.0745,-118.2654
120212193,2012-06-02,2045,34.0705,-118.2569
120210222,2012-04-24,1510,34.0691,-118.2645
120211863,2012-05-27,1050,34.0699,-118.2596
120209353,2012-04-08,210,34.0697,-118.2591
120210059,2012-04-21,1330,34.0744,-118.2617
120207459,2012-03-05,200,34.0791,-118.2929
120211630,2012-05-21,1600,34.0687,-118.2632
120207405,2012-03-03,1825,34.071,-118.2702
120210979,2012-05-09,1139,34.0858,-118.295
120212610,2012-06-09,25,34.0638,-118.2534
120209619,2012-04-13,1515,34.0741,-118.2784
120211356,2012-05-17,1945,34.0751,-118.2743
120209636,2012-04-13,2305,34.0652,-118.2492
120209195,2012-04-05,650,34.0703,-118.268
120207749,2012-03-09,2330,34.0796,-118.2844
120209574,2012-04-12,1510,34.0678,-118.259
120212175,2012-06-01,1300,34.0656,-118.2621
120208099,2012-03-16,1530,34.0791,-118.294
120212347,2012-06-04,2030,34.0724,-118.2666
120211190,2012-05-14,845,34.0784,-118.2791
120210648,2012-05-02,1755,34.0703,-118.268
120210793,2012-05-06,240,34.0687,-118.2632
120207833,2012-03-11,1930,34.0648,-118.2527
120211564,2012-05-21,1815,34.071,-118.2759
120208205,2012-03-19,845,34.0707,-118.2693
120209005,2012-03-27,1210,34.0703,-118.268
120209724,2012-04-16,1300,34.0693,-118.2687
120208853,2012-03-29,2115,34.0763,-118.2917
120208039,2012-03-15,1510,34.064,-118.2505
120209411,2012-04-09,1420,34.0632,-118.2513
120207578,2012-03-06,1530,34.079,-118.2981
120210460,2012-04-29,2010,34.0836,-118.2917
120208156,2012-03-18,205,34.0729,-118.2664
120210684,2012-05-03,1439,34.0717,-118.2671
120209696,2012-04-15,200,34.0667,-118.2546
120212207,2012-06-01,2200,34.0836,-118.295
120210780,2012-05-05,310,34.0647,-118.2539
120212599,2012-06-09,1200,34.0724,-118.2666
120212792,2012-06-11,1100,34.0746,-118.284
120212033,2012-05-30,1530,34.0777,-118.2932
120210916,2012-04-23,1330,34.0763,-118.2917
120213409,2012-06-19,800,34.064,-118.2505
120207305,2012-03-01,1630,34.0703,-118.268
120211418,2012-05-19,225,34.071,-118.2759
120208583,2012-03-25,2305,34.0791,-118.2917
120208041,2012-03-15,1715,34.0737,-118.2659
120209607,2012-04-13,800,34.0763,-118.2917
120209186,2012-04-04,1800,34.0737,-118.2659
120210001,2012-04-20,1630,34.0764,-118.2892
120210647,2012-05-02,2150,34.0777,-118.2917
120211820,2012-05-26,1240,34.0806,-118.2843
120212451,2012-06-07,555,34.0737,-118.2775
120211667,2012-05-23,1915,34.079,-118.2967
120212118,2012-06-01,1110,34.0706,-118.2614
120209496,2012-04-10,1630,34.0749,-118.2802
120208735,2012-03-27,1750,34.076,-118.2737
120211861,2012-05-27,615,34.0687,-118.2672
120209255,2012-04-06,1620,34.0686,-118.2629
120211704,2012-05-24,1545,34.0777,-118.2917
120207774,2012-03-11,115,34.0706,-118.2614
120212528,2012-06-08,610,34.0652,-118.2492
120212186,2012-06-02,1505,34.0632,-118.2513
120209461,2012-04-10,1030,34.0798,-118.2868
120212384,2012-06-05,1420,34.0693,-118.2687
120210535,2012-04-28,2120,34.0703,-118.268
120210257,2012-04-24,2150,34.0836,-118.2917
120211032,2012-05-10,1100,34.0721,-118.2735
120211454,2012-05-19,2025,34.0836,-118.2992
120207322,2012-03-01,2100,34.0836,-118.2917
120212860,2012-06-13,2359,34.0652,-118.2492
120211485,2012-05-19,2100,34.0727,-118.2597
120209782,2012-04-16,1315,34.0703,-118.268
120212596,2012-06-08,2130,34.0717,-118.2671
120213108,2012-06-19,1215,34.071,-118.2759
120208138,2012-03-17,1050,34.0716,-118.2719
120212016,2012-05-30,745,34.0818,-118.2917
120208553,2012-03-24,2320,34.0689,-118.2532
120213548,2012-06-26,1930,34.0767,-118.2707
120408721,2012-04-20,2150,34.0431,-118.2185
120410348,2012-05-28,1705,34.0455,-118.215
120410741,2012-06-09,1050,34.0819,-118.2204
120406767,2012-03-05,825,34.043,-118.2217
120407216,2012-03-15,1900,34.092,-118.204
