DR Number,Date Occurred,Time Occurred,latitude,longitude
120107610,2012-03-04,1030,34.043,-118.2606
120109960,2012-04-14,220,34.0474,-118.2531
120110097,2012-04-16,1720,34.0454,-118.236
120113538,2012-06-07,1630,34.0377,-118.2621
120114072,2012-06-16,1300,34.048,-118.2438
120111420,2012-05-06,150,34.0677,-118.2259
120109846,2012-04-12,1120,34.0488,-118.2483
120109525,2012-04-06,2050,34.046,-118.2509
120117087,2012-04-19,1200,34.0584,-118.2513
120108214,2012-03-16,855,34.0408,-118.2511
120108772,2012-03-26,1205,34.0435,-118.2427
120111883,2012-05-14,915,34.0552,-118.2322
120112192,2012-05-18,1235,34.0621,-118.2376
120107447,2012-03-02,1500,34.0417,-118.2398
120109994,2012-04-09,1200,34.0347,-118.2645
120114596,2012-06-24,1648,34.0407,-118.2468
120110433,2012-04-21,1520,34.0373,-118.2637
120108380,2012-03-20,845,34.0708,-118.2471
120111180,2012-05-02,1725,34.0644,-118.2387
120114263,2012-06-19,2010,34.059,-118.2474
120108485,2012-03-21,1635,34.046,-118.2509
120114457,2012-06-22,1055,34.0473,-118.2462
120109973,2012-04-14,1315,34.0423,-118.2527
120111592,2012-05-09,940,34.0347,-118.2345
120113692,2012-06-10,2200,34.043,-118.2606
120109035,2012-03-17,530,34.0495,-118.2494
120112708,2012-05-26,1430,34.0255,-118.4808
120107780,2012-03-08,2200,34.0437,-118.2617
120112030,2012-05-16,940,34.0628,-118.2395
120112740,2012-05-27,215,34.0395,-118.2656
120113228,2012-06-04,700,34.0496,-118.2458
120107915,2012-03-11,1430,34.0467,-118.2411
120109699,2012-04-10,1130,34.0522,-118.2434
120113849,2012-06-12,1925,34.0623,-118.2383
120109017,2012-03-30,40,34.0743,-118.2518
120112303,2012-05-20,1820,34.0464,-118.2402
120109169,2012-04-01,1910,34.0485,-118.2538
120107324,2012-03-01,1800,34.0589,-118.2323
120109343,2012-04-04,1150,34.0552,-118.2322
120107630,2012-03-06,1850,34.0375,-118.27
120114726,2012-06-26,1930,34.0627,-118.2359
120110380,2012-04-20,1450,34.0444,-118.2628
120110601,2012-04-24,1700,34.0481,-118.2542
120108103,2012-03-14,1425,34.0496,-118.2458
120108092,2012-03-14,1410,34.0652,-118.2306
120107914,2012-03-11,1118,34.0421,-118.2711
120109658,2012-03-28,2300,34.0609,-118.2435
120107386,2012-03-02,2110,34.0467,-118.2556
120108860,2012-03-27,1520,34.055,-118.2394
120110410,2012-04-21,1005,34.033,-118.2615
120109491,2012-04-05,2125,34.0541,-118.2417
120112594,2012-05-24,1735,34.0582,-118.2465
120107688,2012-03-07,1440,34.0416,-118.262
120110607,2012-04-24,1420,34.0495,-118.2494
120112315,2012-05-20,1050,34.0644,-118.2387
120110728,2012-04-26,1200,34.0401,-118.2504
120114161,2012-06-17,310,34.0416,-118.2584
120113633,2012-06-09,1505,34.0442,-118.268
120114326,2012-06-20,1820,34.0343,-118.262
120108863,2012-03-27,1600,34.0301,-118.2625
120108658,2012-03-23,1940,34.0445,-118.2523
120110657,2012-04-25,1010,34.0347,-118.2645
120112981,2012-05-23,1,34.0409,-118.2574
120114211,2012-06-18,1700,34.0534,-118.2409
120108282,2012-03-17,1340,34.0433,-118.2381
120113396,2012-06-06,1850,34.0501,-118.2592
120114531,2012-06-23,1615,34.0419,-118.2485
120113895,2012-06-13,2250,34.0736,-118.2312
120108041,2012-03-13,1625,34.0537,-118.2558
120107605,2012-03-06,710,34.0503,-118.2433
120108403,2012-03-20,850,34.0371,-118.2612
120111542,2012-05-08,1320,34.0471,-118.2474
120114455,2012-06-22,1130,34.045,-118.2435
120111006,2012-04-29,2240,34.0311,-118.2646
120108999,2012-03-28,1550,34.0609,-118.2435
120107980,2012-03-12,1450,34.0433,-118.2504
120109313,2012-04-03,2235,34.0437,-118.2652
120109126,2012-03-30,2315,34.0579,-118.2553
120112764,2012-05-27,1215,34.0407,-118.2468
120111990,2012-05-15,1720,34.0725,-118.251
120109376,2012-04-04,1400,34.0504,-118.2409
120107733,2012-03-07,1340,34.0487,-118.2627
120114062,2012-06-16,210,34.0474,-118.2496
120114406,2012-06-21,1640,34.053,-118.2444
120113096,2012-06-01,1550,34.0436,-118.2354
120109909,2012-04-12,1830,34.0551,-118.2545
120114707,2012-06-26,1530,34.0467,-118.2485
120111090,2012-05-01,1430,34.0516,-118.2509
120109993,2012-04-14,220,34.0548,-118.2377
120107446,2012-03-04,300,34.0396,-118.2558
120108615,2012-03-22,2002,34.0469,-118.2644
120111894,2012-05-14,1410,34.033,-118.2615
120114748,2012-06-27,1200,34.0635,-118.2426
120109428,2012-04-05,1515,34.0581,-118.2371
120108247,2012-03-17,240,34.0365,-118.2676
120112391,2012-05-21,1415,34.0485,-118.2538
120111311,2012-05-04,140,34.0402,-118.2598
120110502,2012-04-23,105,34.0373,-118.2588
120114552,2012-06-24,320,34.0566,-118.2319
120109876,2012-04-12,1840,34.0479,-118.2612
120110132,2012-04-17,1040,34.0635,-118.2356
120113551,2012-06-08,1135,34.0342,-118.2673
120112646,2012-05-25,1350,34.0353,-118.2612
120110810,2012-04-27,820,34.0407,-118.268
120112973,2012-05-30,1640,34.0458,-118.243
120109778,2012-04-04,1230,34.0599,-118.2379
120114691,2012-06-26,1050,34.0395,-118.2527
120108234,2012-03-17,200,34.0467,-118.2556
120107824,2012-03-09,1400,34.0359,-118.2711
120110465,2012-04-22,1640,34.0423,-118.2666
120113343,2012-06-05,1625,34.0467,-118.252
120111259,2012-05-03,1505,34.0319,-118.2594
120112814,2012-05-28,940,34.0433,-118.2381
120108176,2012-03-15,2130,34.0509,-118.2605
120112226,2012-05-19,1023,34.0381,-118.2511
120111789,2012-05-12,655,34.0495,-118.2494
120113090,2012-06-01,1701,34.0389,-118.255
120109090,2012-03-25,2300,34.0423,-118.2631
120108937,2012-03-28,1830,34.0349,-118.2669
120108514,2012-03-21,1940,34.0453,-118.2651
120111453,2012-05-05,2300,34.0725,-118.251
120111760,2012-05-11,1835,34.0437,-118.2652
120114025,2012-06-15,1700,34.0328,-118.2647
120109274,2012-04-03,1545,34.0544,-118.2466
120110166,2012-04-17,1600,34.0628,-118.2395
120114810,2012-06-27,1400,34.0308,-118.264
120108246,2012-03-17,130,34.0423,-118.2595
120109938,2012-04-13,1500,34.0487,-118.2361
120107482,2012-03-04,1720,34.057,-118.2437
120110018,2012-04-15,1200,34.0627,-118.2341
120108321,2012-03-18,1605,34.0531,-118.2478
120110816,2012-04-27,1330,34.0349,-118.2669
120113493,2012-06-07,1640,34.0342,-118.2673
120110665,2012-04-25,1045,34.0488,-118.2483
120112438,2012-05-22,1200,34.0504,-118.2345
120112698,2012-05-26,500,34.0604,-118.2393
120109965,2012-04-14,220,34.0494,-118.2581
120112124,2012-05-17,1305,34.0566,-118.2319
120110599,2012-04-24,1550,34.0548,-118.2377
120112109,2012-05-10,800,34.0496,-118.2458
120110019,2012-04-15,1130,34.0566,-118.2528
120111411,2012-05-05,1830,34.0481,-118.2507
120112595,2012-05-24,1515,34.048,-118.2577
120110729,2012-04-26,1040,34.0468,-118.2622
120112893,2012-05-29,1230,34.0582,-118.2465
120111881,2012-05-14,1240,34.0419,-118.2485
120114652,2012-06-25,1530,34.0499,-118.2614
120109000,2012-03-29,1640,34.048,-118.2577
120112203,2012-05-18,1810,34.0308,-118.264
120112860,2012-05-21,10,34.0371,-118.2659
120113287,2012-06-04,100,34.0327,-118.2683
120112246,2012-05-19,1630,34.0419,-118.2523
120109825,2012-04-11,1615,34.0557,-118.2436
120113070,2012-05-31,1930,34.0454,-118.2657
120111113,2012-05-01,1710,34.0408,-118.2644
120121570,2012-06-26,1800,34.0557,-118.2488
